Name,Location,Rating,Services,Popularity,Verified,Phone number
"Small Animal Clinic Diagnostics Imaging & Surgical Centre in Khar West, Mumbai","4 and 5, Ganpat Niwas, Junction Of 13th & 18th Road, Khar West, Mumbai - 400052, Near Khar Gymkhana Main Gate",3.9,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,131,FALSE,7947171339
"Dr. Manjiri Veterinary in Malad East, Mumbai","Shop No 14, Ganga Vihar, Raheja Township, Road No 3, Malad East, Mumbai - 400097, Near HDFC Bank",4.4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,64,FALSE,7947173250
"Super Vet Clinic & Diagnostic Center in Wadala Truck Terminal, Mumbai","No 5 Shop No 14 MMRDA Complex Building, Wadala Truck Terminal, Mumbai - 400037",4,Diagnostic Centres in Mumbai; Veterinary Clinics in Mumbai; ,8,FALSE,7947455150
"Sai Pet Clinic in Borivali West, Mumbai","Room No C /1, Plot No 198, Spurti Co Operative Housing Society, Borivali West, Mumbai - 400091, Gorai-2",4.1,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,25,FALSE,7947183667
"Dr. Bhoir (Sai Samarth Vet Clinic and Pet Shop) in Badlapur, Mumbai","C/o Sai Samarth Vet Clinic and Pet Shop,Jai Sidhivinayak Estate, Old D P Road, Badlapur, Thane - 421503",4.5,Veterinary Doctors in Mumbai; Pet Food Dealers in Mumbai; ,4,FALSE,7947184650
"Tapases Petcare Veterinary Clinic in Thane West, Mumbai","Shop No. 35/ D-7, Saidham Society, Thane West, Thane - 400606, Opp. Monginis, Near Yashodhan Nagar Bus Stop",4.5,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,19,FALSE,7947181071
"Paws N Claws Pet Care Center in Ghatkopar West, Mumbai","Chandrika Niwas, Shop No 3, Pipe Line Bus Stop, Lbs Road, Ghatkopar West, Mumbai - 400086, Ghatkopar Pipe Linen  & Near Trilok Bar & Restaurant",4.2,Veterinary Doctors in Mumbai; Pet Care Takers in Mumbai; ,149,TRUE,9867885738
"PetVet Veterinary Clinic in Borivali West, Mumbai","C/ 3, Abhay Co Operative Housing Society Ltd, TPS III, P T Malharrao Kulkarni Road, Borivali West, Mumbai - 400091, Opposite Don Bosco School",4.5,Veterinary Doctors in Mumbai; Veterinary Medicine Retailers in Mumbai; ,151,FALSE,7947167515
"Shiros Pet Clinic in Dombivli East, Mumbai","D 501, Kasturi Plaza, Manpada Road, Dombivli East, Thane - 421201, Near Federal Bank Atm",4.2,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,64,FALSE,7947174881
"Dr. Rahuls Pet Health Clinic in Bhandup East, Mumbai","Shop No. 2, Laxmi Apartment, Udayshree Road, Bhandup East, Mumbai - 400042, Near Shiv Sena Office, Behind Hemapark Society",4.2,Veterinary Doctors in Mumbai; Veterinary Medicine Retailers in Mumbai; ,73,FALSE,7947177198
